Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C7",0402,4,100n,
"C10, C11, C12, C13, C8",1206,5,10u,
C4,0402,1,4.7u,
"C5, C6",0402,2,10p,
C9,1206,1,10n,
CN1,CONN-TH_4P-P3.50_DIBO_DB127S-3.5-4P-GN,1,DB127S-3.5-4P-GN,C2997511
D1,0805,1,LED,
D2,0402,1,LED,
D3,SOD-123_L2.7-W1.6-LS3.7-RD-1,1,B5819W_C8598,C8598
F1,1206,1,500mA,
FB1,1206,1,600 @ 600 MHz,
L1,1206,1,4.7u,
Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3401A,C15127
Q2,Q_SOT-23,1,AO3400A,C20917
R1,R_0603,1,49k9,
"R10, R13, R9",R_0603,3,10k,
"R11, R3",R_0402,2,10k,
R12,R_0402,1,100,
"R2, R8",R_0402,2,1k,
R4,R_0603,1,100k,
R7,R_0603,1,9k1,
"TP1, TP2, TP3, TP5, TP6",TestPoint_Pad_D3.0mm,5,TestPoint,
"TP10, TP11, TP9",TestPoint_THTPad_D1.0mm_Drill0.5mm,3,TestPoint,
"TP4, TP7, TP8",TestPoint_Pad_D2.0mm,3,TestPoint,
U1,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,STM32G070RBT6,C529340
"U2, U3",HDR-TH_3P-P2.54-V-M-1,2,826629-3,C306127
U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,MP2359DT-LF-Z,C6595509
U5,DC-IN-TH_XDJK-0051-025,1,XDJK-0051-025,C7498153
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
